"","x"
"3860",1.08686011245807
"3873",1.08495463776734
"3886",1.08580710321479
"3899",1.08464268413433
"3912",1.08424275499302
"3925",1.08503304836755
"3938",1.08536234381458
"3951",1.08379122182376
"3964",1.08226514479881
"3977",1.08126982968643
"3990",1.07823616800992
"4003",1.07223455370015
"4016",1.0674430376645
"4029",1.06333790158795
"4042",1.059648843972
"4055",1.05775245842622
"4068",1.05686820324235
"4081",1.05631250012593
"4094",1.05555051367689
"4107",1.0558304260172
"4120",1.05646420877331
"4133",1.05527504785809
"4146",1.05453074342091
"4159",1.05385275372321
"4172",1.05377857984336
"4185",1.05340021868304
"4198",1.04983344953996
"4211",1.04606401289189
"4224",1.04363810064502
"4237",1.04240981309901
"4250",1.04105153994753
"4263",1.04034265132143
"4276",1.03950407798449
"4289",1.03827117132504
"4302",1.03753454224532
"4315",1.03675296438686
"4328",1.03425007531561
"4341",1.03369787577629
"4354",1.03363098118534
"4367",1.03385389855211
"4380",1.03322982769565
"4393",1.03008712547278
"4406",1.02823448313459
"4419",1.02667671718831
"4432",1.02603353657751
"4445",1.02473462770948
"4458",1.02358508669842
"4471",1.02211125582047
"4484",1.02029919708417
"4497",1.01827762861779
"4510",1.01758504450457
"4523",1.01675032140068
"4536",1.01612294139005
"4549",1.01571063830386
"4562",1.0139030334623
"4575",1.01150178192091
"4588",1.01025615721145
"4601",1.00904799397987
"4614",1.00846043457049
"4627",1.00836802641656
"4640",1.00914545812403
"4653",1.00983176311858
"4666",1.01007062585334
"4679",1.01049709171945
"4692",1.0110282265393
"4705",1.01180899278347
"4718",1.01219038542515
"4731",1.01304379645952
"4744",1.01315588854975
"4757",1.0142456748947
"4770",1.01505436658855
"4783",1.01554652323017
"4796",1.0150402242549
"4809",1.01530188310023
"4822",1.01609349478333
"4835",1.01759005616825
"4848",1.01935264940081
"4861",1.02050966253365
"4874",1.0214182601533
"4887",1.02269695076216
"4900",1.02256795051085
"4913",1.02375334455546
"4926",1.02472133923404
"4939",1.02515363357267
"4952",1.02482883676446
"4965",1.02431636242627
"4978",1.02434627924342
"4991",1.02385351960962
"5004",1.02323909268661
"5017",1.02317251520405
"5030",1.02239683069835
"5043",1.02223428146532
"5056",1.02154234592732
"5069",1.02099688931894
"5082",1.02063729662354
"5095",1.02081126543548
"5108",1.02128120965314
"5121",1.02119569265878
"5134",1.02261057295298
"5147",1.02378066384442
"5160",1.02438884690418
"5173",1.0252882862527
"5186",1.02555581597533
"5199",1.02571374857596
"5212",1.02582401711393
"5225",1.02656356130816
"5238",1.02676408889722
"5251",1.02737172606969
"5264",1.02719319876176
"5277",1.02711971925334
"5290",1.02665688861156
"5303",1.02772209681717
"5316",1.02880762570427
"5329",1.02953592864087
"5342",1.02999519119804
"5355",1.03170691913342
"5368",1.03321818931811
"5381",1.03391322110129
"5394",1.03535577430589
"5407",1.03672757616329
"5420",1.03782609688417
"5433",1.03855598151869
"5446",1.03912648116766
"5459",1.03912940861001
"5472",1.0386786258408
"5485",1.03807777376003
"5498",1.03887936627153
"5511",1.03840146125664
"5524",1.03658185780276
"5537",1.0353123708517
"5550",1.03412141368886
"5563",1.03309359975645
"5576",1.03276758922132
"5589",1.03280279331306
"5602",1.03392589896145
"5615",1.03512985889853
"5628",1.03631201340196
"5641",1.03728574734963
"5654",1.03803701184821
"5667",1.03874253996388
"5680",1.0394290867358
"5693",1.04101951949097
"5706",1.04284417845355
"5719",1.04504206376686
"5732",1.04728177476616
"5745",1.04859215990599
"5758",1.04982807556078
"5771",1.05140045402695
"5784",1.05379741173163
