"","x"
"5211",1.00316879697679
"5231",1.0028909188668
"5251",1.00301316234802
"5271",1.00314605065008
"5291",1.00286794702381
"5311",1.00262831514655
"5331",1.0027029808188
"5351",1.0028749209646
"5371",1.00256237048498
"5391",1.00250209587839
"5411",1.00261225704728
"5431",1.00244337621792
"5451",1.00222795814038
"5471",1.00174240608254
"5491",1.00180607364299
"5511",1.00199582008687
"5531",1.00196074988136
"5551",1.00216304750104
"5571",1.00227783647535
"5591",1.00241637109696
"5611",1.0023898366724
"5631",1.00182799133332
"5651",1.00130439051923
"5671",1.00124102064995
"5691",1.00144927750476
"5711",1.00139545375842
"5731",1.00136016287782
"5751",1.00123186195936
"5771",1.00131374588502
"5791",1.00161919960217
"5811",1.00203283741106
"5831",1.00225751545251
"5851",1.00207931573684
"5871",1.00181191942535
"5891",1.00161540809078
"5911",1.0017453595261
"5931",1.00167647820586
"5951",1.00126773939662
"5971",1.00108247825684
"5991",1.00121557723303
"6011",1.00130427046878
"6031",1.00130512504183
"6051",1.00137171714781
"6071",1.00129305774674
"6091",1.00119716493437
"6111",1.00110201665056
"6131",1.00108743347783
"6151",1.00111796818092
"6171",1.00105791991011
"6191",1.00097586333301
"6211",1.00101802831429
"6231",1.00115848461658
"6251",1.00115451732015
"6271",1.00100124793308
"6291",1.00091126871831
"6311",1.00085235156819
"6331",1.00086724181766
"6351",1.00080071446999
"6371",1.00077687776502
"6391",1.00080772525283
"6411",1.00089023602917
"6431",1.00102301378135
"6451",1.00112555612212
"6471",1.00117474024732
"6491",1.0014533353814
"6511",1.0017275519585
"6531",1.00184495691292
"6551",1.00182390012589
"6571",1.00187550968577
"6591",1.00187714962621
"6611",1.00175291834549
"6631",1.0021262491715
"6651",1.00239697340529
"6671",1.00245541282647
"6691",1.00262455199214
"6711",1.00255317466188
"6731",1.00262443534503
"6751",1.00263016689781
"6771",1.00263291865627
"6791",1.00301039696654
"6811",1.00343216276877
"6831",1.00383938490194
"6851",1.00412030772528
"6871",1.00419520070357
"6891",1.00403245513877
"6911",1.00391959823574
"6931",1.00377183583235
"6951",1.00362561411825
"6971",1.00379558262429
"6991",1.0038472177273
"7011",1.00347528630155
"7031",1.00348911950189
"7051",1.00356587796051
"7071",1.00377643465405
"7091",1.00415255391989
"7111",1.00424225076803
"7131",1.00443659783399
"7151",1.00478415249518
"7171",1.00504582489319
"7191",1.00520221645983
"7211",1.00587295192759
"7231",1.0067578290126
"7251",1.00761643899783
"7271",1.00843600284318
"7291",1.00904497933378
"7311",1.00945912621781
"7331",1.00966725898214
"7351",1.00979260771917
"7371",1.00998932260328
"7391",1.01047155675024
"7411",1.01061385551942
"7431",1.01093869993439
"7451",1.01100252678258
"7471",1.01108878966694
"7491",1.01042452514933
"7511",1.00974998916998
"7531",1.00989081356146
"7551",1.01014166270325
"7571",1.01024403906303
"7591",1.01018990664609
"7611",1.00956208677887
"7631",1.00972842201259
"7651",1.00972111100681
"7671",1.00969091211469
"7691",1.00948251188502
"7711",1.00978705015209
"7731",1.00987355276862
"7751",1.00971673841562
"7771",1.00950050092705
"7791",1.00948456076186
"7811",1.00956696960053
"7831",1.00988812456913
"7851",1.01001162536211
"7871",1.01080629505016
"7891",1.01161159958623
"7911",1.01228935618427
"7931",1.01291262404958
"7951",1.01325697158622
"7971",1.01289268714116
"7991",1.01320407670051
"8011",1.01320973454779
"8031",1.01313594662136
"8051",1.01331493017599
"8071",1.01313674958602
"8091",1.01281321628443
